x,y,combined_info
8345.0,5190.0,Enterocyte_Cell Type
5284.0,3805.0,Enterocyte_Cell Type
8047.0,5525.0,Enterocyte_Cell Type
8645.0,8599.0,Enterocyte_Cell Type
7132.0,5444.0,Enterocyte_Cell Type
6336.0,1852.0,Enterocyte_Cell Type
8161.0,8674.0,Enterocyte_Cell Type
6127.0,3028.0,Enterocyte_Cell Type
6219.0,1648.0,Enterocyte_Cell Type
8068.0,7083.0,Enterocyte_Cell Type
8433.0,7386.0,Enterocyte_Cell Type
7323.0,8192.0,Enterocyte_Cell Type
7467.0,2808.0,Enterocyte_Cell Type
7979.0,5327.0,Enterocyte_Cell Type
7477.0,3154.0,Enterocyte_Cell Type
6660.0,1471.0,Enterocyte_Cell Type
7491.0,5647.0,Enterocyte_Cell Type
6284.0,881.0,Enterocyte_Cell Type
6818.0,4627.0,Enterocyte_Cell Type
8589.0,7459.0,Enterocyte_Cell Type
6148.0,3041.0,Enterocyte_Cell Type
6542.0,1308.0,Enterocyte_Cell Type
6383.0,2705.0,Enterocyte_Cell Type
8469.0,7928.0,Enterocyte_Cell Type
6930.0,5757.0,Enterocyte_Cell Type
7747.0,8656.0,Enterocyte_Cell Type
6337.0,4654.0,Enterocyte_Cell Type
5819.0,816.0,Enterocyte_Cell Type
7927.0,8532.0,Enterocyte_Cell Type
8431.0,7485.0,Enterocyte_Cell Type
6298.0,3968.0,Enterocyte_Cell Type
7761.0,8665.0,Enterocyte_Cell Type
7716.0,7500.0,Enterocyte_Cell Type
5720.0,976.0,Enterocyte_Cell Type
6350.0,1833.0,Enterocyte_Cell Type
5094.0,600.0,Enterocyte_Cell Type
6765.0,768.0,Enterocyte_Cell Type
6524.0,1314.0,Enterocyte_Cell Type
5221.0,544.0,Enterocyte_Cell Type
6916.0,2630.0,Enterocyte_Cell Type
7012.0,4258.0,Enterocyte_Cell Type
6534.0,3355.0,Enterocyte_Cell Type
7266.0,3338.0,Enterocyte_Cell Type
8135.0,7990.0,Enterocyte_Cell Type
4886.0,267.0,Enterocyte_Cell Type
4971.0,129.0,Enterocyte_Cell Type
8428.0,5821.0,Enterocyte_Cell Type
7113.0,3018.0,Enterocyte_Cell Type
7273.0,5211.0,Enterocyte_Cell Type
8143.0,5164.0,Enterocyte_Cell Type
8003.0,7851.0,Enterocyte_Cell Type
3203.0,7964.0,Enterocyte_Cell Type
7093.0,3295.0,Enterocyte_Cell Type
7626.0,3700.0,Enterocyte_Cell Type
6354.0,4338.0,Enterocyte_Cell Type
8053.0,7990.0,Enterocyte_Cell Type
6356.0,1819.0,Enterocyte_Cell Type
7077.0,4620.0,Enterocyte_Cell Type
6548.0,3315.0,Enterocyte_Cell Type
7920.0,5695.0,Enterocyte_Cell Type
7690.0,5052.0,Enterocyte_Cell Type
7732.0,6947.0,Enterocyte_Cell Type
8049.0,5801.0,Enterocyte_Cell Type
7168.0,4636.0,Enterocyte_Cell Type
6566.0,2514.0,Enterocyte_Cell Type
5986.0,1987.0,Enterocyte_Cell Type
5729.0,173.0,Enterocyte_Cell Type
8229.0,4602.0,Enterocyte_Cell Type
5909.0,100.0,Enterocyte_Cell Type
2773.0,6038.0,Enterocyte_Cell Type
